protein	V2	V3	uniprot_acc	V5	V6	V7	GO_ID	GOslim	V4
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0000186	signal transduction	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0001890	developmental processes	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0004054	kinase activity	F
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0004709	kinase activity	F
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0004709	signal transduction activity	F
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0005524	other molecular function	F
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0005524	other molecular function	F
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0005737	other cellular component	C
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0007346	cell cycle and proliferation	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0010225	other biological processes	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0010468	other metabolic processes	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0019100	developmental processes	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0032212	DNA metabolism	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0032212	cell organization and biogenesis	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0042981	death	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0043507	protein metabolism	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0043507	signal transduction	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0043507	stress response	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0046872	other molecular function	F
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0048471	other cellular component	C
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0051973	other biological processes	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0060718	other biological processes	P
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2	GO:0016021	other membranes	C
CHOYP_ANR31.1.1	23C-29C	-3.0736726268013	Q8N7Z5	ANR31_HUMAN	sp	Q8N7Z5	GO:0003677	nucleic acid binding activity	F
CHOYP_ANR31.1.1	23C-29C	-3.0736726268013	Q8N7Z5	ANR31_HUMAN	sp	Q8N7Z5	GO:0016021	other membranes	C
CHOYP_ANR31.1.1	23C-29C	-3.0736726268013	Q8N7Z5	ANR31_HUMAN	sp	Q8N7Z5	GO:0031965	nucleus	C
CHOYP_ANR31.1.1	23C-29C	-3.0736726268013	Q8N7Z5	ANR31_HUMAN	sp	Q8N7Z5	GO:0031965	other membranes	C
CHOYP_ATS6.3.3	23C-29C	-3.03711651497125	Q69Z28	ATS16_MOUSE	sp	Q69Z28	GO:0001658	developmental processes	P
CHOYP_ATS6.3.3	23C-29C	-3.03711651497125	Q69Z28	ATS16_MOUSE	sp	Q69Z28	GO:0003073	other biological processes	P
CHOYP_ATS6.3.3	23C-29C	-3.03711651497125	Q69Z28	ATS16_MOUSE	sp	Q69Z28	GO:0004222	other molecular function	F
CHOYP_ATS6.3.3	23C-29C	-3.03711651497125	Q69Z28	ATS16_MOUSE	sp	Q69Z28	GO:0005578	extracellular matrix	C
CHOYP_ATS6.3.3	23C-29C	-3.03711651497125	Q69Z28	ATS16_MOUSE	sp	Q69Z28	GO:0008270	other molecular function	F
CHOYP_LOC101160066.1.1	23C-29C	-3.03050501411936	A2VE47	ADPGK_BOVIN	sp	A2VE47	GO:0005576	non-structural extracellular	C
CHOYP_LOC101160066.1.1	23C-29C	-3.03050501411936	A2VE47	ADPGK_BOVIN	sp	A2VE47	GO:0005783	ER/Golgi	C
CHOYP_LOC101160066.1.1	23C-29C	-3.03050501411936	A2VE47	ADPGK_BOVIN	sp	A2VE47	GO:0006096	other metabolic processes	P
CHOYP_LOC101160066.1.1	23C-29C	-3.03050501411936	A2VE47	ADPGK_BOVIN	sp	A2VE47	GO:0016020	other membranes	C
CHOYP_LOC101160066.1.1	23C-29C	-3.03050501411936	A2VE47	ADPGK_BOVIN	sp	A2VE47	GO:0043843	kinase activity	F
CHOYP_LOC101160066.1.1	23C-29C	-3.03050501411936	A2VE47	ADPGK_BOVIN	sp	A2VE47	GO:0046872	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0003697	nucleic acid binding activity	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0004312	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0004313	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0004314	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0004315	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0004316	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0004317	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0004319	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0004320	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0005623	other cellular component	C
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0005787	ER/Golgi	C
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0005787	other membranes	C
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0006089	other metabolic processes	P
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0006465	protein metabolism	P
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0006633	other metabolic processes	P
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0008233	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0016021	other membranes	C
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0016295	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0016296	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0031090	other membranes	C
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0031177	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0032100	other biological processes	P
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0045047	transport	P
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0047117	other molecular function	F
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276	GO:0047451	other molecular function	F
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0003677	nucleic acid binding activity	F
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0004864	enzyme regulator activity	F
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0005634	nucleus	C
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0005654	nucleus	C
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0005737	other cellular component	C
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0005783	ER/Golgi	C
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0005811	other cellular component	C
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0005829	cytosol	C
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0006260	DNA metabolism	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0006334	cell organization and biogenesis	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0006337	cell organization and biogenesis	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0006913	transport	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0016032	other biological processes	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0019888	enzyme regulator activity	F
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0035067	cell organization and biogenesis	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0035067	protein metabolism	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0042393	other molecular function	F
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0043234	other cellular component	C
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0043488	RNA metabolism	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0043524	death	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0045892	RNA metabolism	P
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105	GO:0048471	other cellular component	C
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0003677	nucleic acid binding activity	F
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0003725	nucleic acid binding activity	F
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0003727	nucleic acid binding activity	F
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0004386	other molecular function	F
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0005524	other molecular function	F
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0005634	nucleus	C
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0005737	other cellular component	C
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0008270	other molecular function	F
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0009615	other biological processes	P
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0016925	protein metabolism	P
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0032727	other biological processes	P
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0032728	other biological processes	P
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0042802	other molecular function	F
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0043021	other molecular function	F
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7	GO:0045087	stress response	P
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0004560	other molecular function	F
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0005576	non-structural extracellular	C
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0005615	non-structural extracellular	C
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0005788	ER/Golgi	C
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0006004	other metabolic processes	P
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0009617	other biological processes	P
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0016139	other metabolic processes	P
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0043312	transport	P
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0043687	protein metabolism	P
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0044267	protein metabolism	P
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2	GO:0070062	non-structural extracellular	C
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0001948	other molecular function	F
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0004559	other molecular function	F
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0004571	other molecular function	F
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0005509	other molecular function	F
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0005783	ER/Golgi	C
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0005788	ER/Golgi	C
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0006491	protein metabolism	P
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0016020	other membranes	C
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0030968	signal transduction	P
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94	GO:0030968	stress response	P
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0001891	other membranes	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0001891	plasma membrane	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0005509	other molecular function	F
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0005634	nucleus	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0005737	other cellular component	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0005829	cytosol	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0005884	cytoskeleton	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0006911	cell organization and biogenesis	P
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0006911	transport	P
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0006954	stress response	P
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0016601	signal transduction	P
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0030027	other cellular component	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0030041	cell organization and biogenesis	P
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0032587	other membranes	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0032587	plasma membrane	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0042102	cell cycle and proliferation	P
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0048471	other cellular component	C
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0048661	cell cycle and proliferation	P
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0048662	cell cycle and proliferation	P
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0051015	cytoskeletal activity	F
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2	GO:0051017	cell organization and biogenesis	P
CHOYP_BRAFLDRAFT_87662.1.1	23C-29C	-2.57563982100564	P17560	RENBP_PIG	sp	P17560	GO:0004866	enzyme regulator activity	F
CHOYP_BRAFLDRAFT_87662.1.1	23C-29C	-2.57563982100564	P17560	RENBP_PIG	sp	P17560	GO:0006044	other metabolic processes	P
CHOYP_BRAFLDRAFT_87662.1.1	23C-29C	-2.57563982100564	P17560	RENBP_PIG	sp	P17560	GO:0019262	other metabolic processes	P
CHOYP_BRAFLDRAFT_87662.1.1	23C-29C	-2.57563982100564	P17560	RENBP_PIG	sp	P17560	GO:0050121	other molecular function	F
CHOYP_ACTC.5.6	23C-29C	-2.54037778970385	Q964D9	ACTC_PLATR	sp	Q964D9	GO:0005524	other molecular function	F
CHOYP_ACTC.5.6	23C-29C	-2.54037778970385	Q964D9	ACTC_PLATR	sp	Q964D9	GO:0005737	other cellular component	C
CHOYP_ACTC.5.6	23C-29C	-2.54037778970385	Q964D9	ACTC_PLATR	sp	Q964D9	GO:0005856	cytoskeleton	C
CHOYP_LOC100876012.1.1	23C-29C	2.01458152170622	Q16831	UPP1_HUMAN	sp	Q16831	GO:0004850	other molecular function	F
CHOYP_LOC100876012.1.1	23C-29C	2.01458152170622	Q16831	UPP1_HUMAN	sp	Q16831	GO:0005829	cytosol	C
CHOYP_LOC100876012.1.1	23C-29C	2.01458152170622	Q16831	UPP1_HUMAN	sp	Q16831	GO:0006139	other metabolic processes	P
CHOYP_LOC100876012.1.1	23C-29C	2.01458152170622	Q16831	UPP1_HUMAN	sp	Q16831	GO:0006218	other metabolic processes	P
CHOYP_LOC100876012.1.1	23C-29C	2.01458152170622	Q16831	UPP1_HUMAN	sp	Q16831	GO:0009166	other metabolic processes	P
CHOYP_LOC100876012.1.1	23C-29C	2.01458152170622	Q16831	UPP1_HUMAN	sp	Q16831	GO:0042149	stress response	P
CHOYP_LOC100876012.1.1	23C-29C	2.01458152170622	Q16831	UPP1_HUMAN	sp	Q16831	GO:0043097	other metabolic processes	P
CHOYP_LOC100876012.1.1	23C-29C	2.01458152170622	Q16831	UPP1_HUMAN	sp	Q16831	GO:0046135	other metabolic processes	P
CHOYP_PCKG.2.2	23C-29C	2.04701647871934	P29190	PCKG_HAECO	sp	P29190	GO:0004613	other molecular function	F
CHOYP_PCKG.2.2	23C-29C	2.04701647871934	P29190	PCKG_HAECO	sp	P29190	GO:0005525	other molecular function	F
CHOYP_PCKG.2.2	23C-29C	2.04701647871934	P29190	PCKG_HAECO	sp	P29190	GO:0006094	other metabolic processes	P
CHOYP_PCKG.2.2	23C-29C	2.04701647871934	P29190	PCKG_HAECO	sp	P29190	GO:0046872	other molecular function	F
CHOYP_UNC89.1.19	23C-29C	2.05672775005877	A8T6P4	MYRIP_DANRE	sp	A8T6P4	GO:0003779	cytoskeletal activity	F
CHOYP_UNC89.1.19	23C-29C	2.05672775005877	A8T6P4	MYRIP_DANRE	sp	A8T6P4	GO:0006886	transport	P
CHOYP_UNC89.1.19	23C-29C	2.05672775005877	A8T6P4	MYRIP_DANRE	sp	A8T6P4	GO:0017022	cytoskeletal activity	F
CHOYP_UNC89.1.19	23C-29C	2.05672775005877	A8T6P4	MYRIP_DANRE	sp	A8T6P4	GO:0017137	enzyme regulator activity	F
CHOYP_UNC89.1.19	23C-29C	2.05672775005877	A8T6P4	MYRIP_DANRE	sp	A8T6P4	GO:0030050	transport	P
